V ,Col rizada (kale),3    ,taza,75,27,2.1,0.6,3.3
V ,Mezcla de hojas verdes,2,taza,120,21,1.5,0.3,3
V ,Edamame,30,g,30,28,2.4,1.2,1.8
V ,Verdura cocida picada, 1/2,taza,50,32,1.4,0,6.5
V ,Chile guajillo,2,pieza,10,31,1.3,0,6.5
V ,Pepino entero, 3/4,pieza,277,25.5,1.2,0.3,4.5
V ,Mix de lechugas,3    ,taza,141,24,1.5,0,4.5
V ,Mix de vegetales verdes,1    ,taza,70,26,2.1,0.3,3.7
LECHE E ,Kefir,1    ,taza,240,150,8,8,12
LECHE E ,Yogur natural endulzado,1    ,taza,225,139,7.9,7.4,10.6
LECHE D,Yogur griego sin azúcar, 1/2,taza,120,85,11,1,8
GRASA S/P,Ghee (mantequilla clarificada),1    ,cucharadita,5,38,0,4.2,0
GRASA S/P,Crema light,2    ,cucharada,30,44,1,4,1
GRASA C/P,Crema de cacahuate,2    ,cucharadita,10,65,2.6,5,2.3
GRASA C/P,Crema de almendra,2    ,cucharadita,10,63,2,5.3,2.3
GRASA C/P,Leche de coco sin azúcar,1    ,taza,240,42,1,4,0.5
GRASA C/P,Chocolate amargo 70% cacao,18    ,g,18,84,1.5,6,6
GRASA C/P,Leche de almendras sin azúcar,1    ,taza,240,29,1,2.5,0.5
F ,Mango congelado, 1/2,taza,100,60,0.8,0,14
F ,Frutos rojos congelados,100    ,g,100,52,0,0,13
F ,Frutos rojos, 1/2,taza,76,54,0.9,0.3,12
F ,Plátano congelado, 1/2,pieza,80,48,0.6,0.2,12.4
F ,Uvas congeladas,18    ,pieza,126,61,0.6,0.5,15.3
F ,Melón picado congelado,1    ,taza,160,58,1.3,0,13.1
CEREAL S/G,Pan thins integral,2    ,rebanada,42,85,4,1,15
CEREAL S/G,Pan pita integral mediano, 1/2,pieza,22,52,2,0,11
CEREAL S/G,Pan pita tradicional grande, 1/3,pieza,23,60,2,0,13
CEREAL S/G,Quinoa cocida, 1/3,taza,65,76,2.67,1,14.2
CEREAL S/G,Galleta de arroz inflado,3    ,pieza,18,60,1.5,0,13.5
CEREAL S/G,Totopos de maíz horneados,20    ,g,20,68,1.6,0.6,14
CEREAL C/G,Ravioles de queso, 1/2,taza,25,133,6,5,16
AOA MAG,Tempeh, 1/4,taza,40,77,8.1,4.3,3.1
AOA BAG,Queso oaxaca light,30    ,g,30,61,8,3.3,0
ALE,Mermelada sin azúcar,1    ,cucharada,15,16,0,0,4
ALE,Chile serrano,6    ,g,6,2,0.1,0,0.4
ALE,Epazote,2    ,hoja,2,1,0,0,0.1
ALE,Matcha,1    ,cucharadita,2,9,0,0,2.3
ALE,Cacao en polvo,1    ,cucharadita,5,14,1,0.7,1
ALE,Albahaca fresca,10    ,g,10,3,0.4,0.1,0.3
ALE,Diente de ajo,1    ,pieza,3,4,0,0,1
ALE,Caldo de verdura,1    ,taza,240,12,0.6,0.2,2.2
ALE,Stevia,1    ,sobre,1,0,0,0,0
ALE,Polvo para hornear,1    ,cucharadita,5,0,0,0,0
ALE,Hoja de plátano,50    ,g,50,0,0,0,0
ALE,Pico de gallo,2    ,cucharada,30,12,1,0,2
ALE,Alga marina,1    ,hoja,3,4,0.8,0,0.3
ALE,Salsa búfalo,1    ,cucharada,15,6,0.2,0.2,0.9
ALE,Salsa de soya baja en sodio,1    ,cucharada,15,10,1,0,1.5
ALE,Pimienta con limón, 1/4,cucharadita,1,0,0,0,0
ALE,Salsa chipotle,1    ,cucharada,14,27,0.3,2.1,1.9
